03001	10	11	12	13	26	28	11
03002	4	9	19	20	21	26	12
03003	1	7	10	23	28	32	16
03004	4	6	7	10	13	25	3
03005	4	6	15	17	30	31	16
03006	1	3	10	21	26	27	6
03007	1	9	19	21	23	26	7
03008	5	8	9	14	17	23	8
03009	5	9	18	20	22	30	9
03010	1	2	8	13	17	24	13
03011	4	5	11	12	30	32	15
03012	2	12	16	17	27	30	12
03013	8	13	17	21	23	32	12
03014	3	5	7	8	21	31	2
03015	4	11	19	25	26	32	13
03016	11	17	28	30	31	33	6
03017	5	8	18	23	25	31	6
03018	5	16	19	20	25	28	13
03019	4	8	12	13	16	33	9
03020	7	10	25	26	27	32	4
03021	14	15	18	25	26	30	1
03022	2	7	11	12	14	32	8
03023	1	10	20	22	26	31	2
03024	2	7	15	17	22	30	14
03025	1	5	11	13	14	27	12
03026	8	13	15	26	29	31	16
03027	1	11	14	17	27	28	15
03028	6	13	16	20	28	32	7
03029	2	7	15	26	29	32	10
03030	2	6	13	14	23	27	7
03031	11	17	20	22	28	32	1
03032	4	11	25	27	29	30	13
03033	1	7	14	20	27	30	10
03034	8	13	14	16	23	25	14
03035	3	4	5	8	10	11	8
03036	7	21	24	25	27	28	15
03037	9	14	17	18	26	32	7
03038	5	7	8	24	25	27	16
03039	3	5	23	24	27	32	3
03040	4	5	6	12	14	23	16
03041	2	3	17	18	24	25	11
03042	3	5	7	10	15	20	7
03043	2	8	10	19	20	32	13
03044	2	5	9	16	32	33	15
03045	3	7	14	15	17	32	3
03046	7	8	10	11	17	26	11
03047	3	17	26	28	32	33	16
03048	10	12	20	28	30	31	9
03049	3	6	7	13	24	25	15
03050	2	8	17	23	24	26	13
03051	4	13	15	17	24	27	1
03052	1	12	13	23	30	31	11
03053	15	19	20	21	28	29	13
03054	2	5	9	21	31	33	12
03055	6	13	16	21	28	31	16
03056	8	17	21	26	28	29	7
03057	18	19	24	25	30	31	16
03058	9	11	16	28	32	33	2
03059	2	3	5	6	18	30	4
03060	2	4	6	17	21	28	11
03061	3	5	20	21	28	32	2
03062	1	6	12	19	20	32	14
03063	5	8	9	14	21	33	11
03064	4	6	8	12	15	30	1
03065	6	15	16	17	30	33	11
03066	3	7	8	20	24	32	14
03067	5	11	12	13	27	31	10
03068	9	19	25	27	32	33	11
03069	7	11	16	19	26	28	11
03070	1	2	4	17	18	19	8
03071	9	11	12	14	15	33	11
03072	3	6	8	11	19	27	11
03073	2	12	14	21	23	30	13
03074	2	12	19	22	27	32	1
03075	16	17	19	22	31	33	11
03076	1	13	16	18	20	29	2
03077	4	12	16	22	24	25	6
03078	7	12	23	26	29	30	11
03079	12	15	22	23	26	31	4
03080	9	20	24	25	28	30	10
03081	1	2	14	26	29	30	7
03082	7	17	18	19	30	31	14
03083	1	3	14	18	26	28	1
03084	2	6	7	10	17	33	3
03085	1	4	11	12	19	27	14
03086	5	12	16	18	26	30	13
03087	2	3	4	5	24	28	13
03088	3	10	21	22	24	33	12
03089	18	19	21	26	27	33	16
04001	1	2	3	7	10	25	7
04002	10	12	18	22	30	31	11
04003	3	5	6	17	26	33	8
04004	10	19	22	23	25	29	9
04005	9	11	13	16	17	18	7
04006	4	12	18	20	23	32	6
04007	4	12	17	20	25	28	9
04008	1	7	10	22	32	33	13
04009	1	9	10	16	22	24	11
04010	6	7	8	13	14	19	15
04011	1	4	13	23	28	30	3
04012	1	7	27	30	31	33	8
04013	12	14	21	29	30	32	13
04014	3	7	11	17	20	26	12
04015	1	3	5	18	22	23	13
04016	4	7	8	28	30	32	5
04017	5	12	14	15	25	31	9
04018	2	5	6	8	28	30	6
04019	5	10	11	23	24	32	4
04020	1	2	9	22	28	31	4
04021	5	9	11	17	26	27	10
04022	3	10	14	19	20	30	6
04023	1	8	14	17	19	30	3
04024	1	13	21	23	25	32	6
04025	7	8	10	24	29	33	4
04026	4	10	14	18	28	32	15
04027	1	5	9	10	18	32	11
04028	1	2	3	5	10	22	12
04029	9	13	20	22	24	32	5
04030	1	7	9	17	26	31	5
04031	3	6	19	20	21	24	11
04032	2	5	8	11	15	31	13
04033	1	4	8	9	19	20	1
04034	2	7	13	20	27	30	14
04035	2	8	26	27	30	32	16
04036	2	13	17	18	26	30	1
04037	3	4	11	17	20	26	5
04038	11	16	17	25	28	29	7
04039	10	16	18	25	26	29	3
04040	7	17	19	20	21	29	11
04041	8	10	17	22	25	29	14
04042	6	10	13	17	18	21	2
04043	4	9	10	21	22	24	10
04044	2	6	7	12	31	32	5
04045	1	12	18	26	27	28	13
04046	7	15	16	22	23	32	14
04047	1	7	8	11	27	31	6
04048	8	9	11	16	17	29	9
04049	11	12	14	16	25	29	9
04050	6	7	19	21	25	29	2
04051	2	3	9	10	15	29	11
04052	1	12	14	15	17	29	9
04053	2	3	4	9	24	25	2
04054	9	11	14	16	27	28	11
04055	6	8	19	25	29	32	7
04056	1	20	21	25	29	30	2
04057	5	21	23	25	28	32	4
04058	1	8	11	12	27	31	12
04059	4	7	11	19	23	26	10
04060	3	5	11	24	27	28	15
04061	13	16	19	20	23	33	9
04062	1	12	25	27	28	29	13
04063	7	10	13	16	27	28	7
04064	14	15	18	20	27	31	4
04065	13	14	27	29	32	33	8
04066	5	13	20	23	24	25	3
04067	1	6	7	13	16	32	4
04068	2	8	11	13	24	31	15
04069	2	11	15	20	22	29	5
04070	10	12	21	22	30	33	6
04071	3	8	16	17	21	29	6
04072	8	15	18	28	30	33	14
04073	2	7	13	16	23	28	16
04074	5	6	15	19	26	29	13
04075	7	18	21	26	27	28	7
04076	3	5	13	17	25	31	7
04077	8	9	10	14	16	26	7
04078	4	5	10	21	24	26	5
04079	7	13	14	17	19	30	3
04080	3	8	20	23	24	26	16
04081	3	5	21	24	27	32	6
04082	3	20	24	27	29	30	15
04083	14	16	27	28	30	33	6
04084	1	4	8	11	21	25	14
04085	3	8	11	29	30	32	1
04086	10	13	18	19	25	27	1
04087	1	3	7	8	25	26	14
04088	2	10	19	22	24	32	14
04089	14	17	20	25	28	30	14
04090	1	18	20	24	32	33	12
04091	9	13	14	21	30	33	1
04092	1	4	8	13	28	31	2
04093	11	14	20	27	32	33	5
04094	5	9	10	13	24	25	8
04095	19	22	27	28	30	32	1
04096	1	4	12	16	20	30	15
04097	10	19	20	26	29	31	14
04098	3	12	13	25	26	31	3
04099	5	10	21	22	26	33	2
04100	6	8	9	14	24	33	15
04101	2	9	14	19	25	26	15
04102	3	9	12	15	28	32	1
04103	2	3	5	9	16	21	2
04104	7	11	17	18	24	29	5
04105	7	9	10	21	23	30	12
04106	10	15	23	26	28	29	12
04107	1	8	12	13	18	20	7
04108	8	13	14	27	28	31	12
04109	6	8	10	17	30	31	14
04110	14	19	20	21	22	31	11
04111	11	16	18	20	26	31	2
04112	9	13	15	21	26	33	6
04113	8	10	23	25	31	32	7
04114	1	6	9	17	21	22	1
04115	2	16	20	30	31	33	1
04116	1	3	5	8	14	33	3
04117	1	3	7	14	24	25	7
04118	3	4	7	12	30	31	15
04119	6	9	18	20	25	33	6
04120	7	8	18	21	27	32	10
04121	7	13	16	18	30	32	10
04122	3	11	14	22	24	31	15
05001	1	7	8	23	27	28	14
05002	6	9	20	26	28	33	14
05003	9	12	15	19	22	31	16
05004	1	4	8	9	22	23	3
05005	5	9	20	26	28	33	15
05006	2	4	5	15	21	31	16
05007	7	15	17	20	23	33	15
05008	11	19	22	27	32	33	11
05009	2	17	22	27	29	31	14
05010	8	10	11	18	25	26	1
05011	9	11	13	15	22	30	15
05012	2	3	6	16	22	31	5
05013	7	8	16	19	20	24	6
